GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-25 13:00:00,2.43268,12.82251,6.35484,7.36329,0.17861,7.75613,0.03294,8.52192,0.02763,0.02038,0.00046,0,6.577,16.56964,17.04551
2026-05-25 14:00:00,2.43181,12.06473,6.38496,7.39783,0.17853,7.67484,0.03293,8.51461,0.02762,0.02037,0.00046,0,6.32546,16.56915,17.06913
2026-05-25 15:00:00,2.43096,11.23066,6.41636,7.43287,0.17845,7.58775,0.03293,8.51725,0.02761,0.02036,0.00046,0,6.04932,16.56868,17.09062
2026-05-25 16:00:00,2.42991,10.5558,6.44828,7.46815,0.17837,7.4974,0.03293,8.53069,0.0276,0.02035,0.00046,0,5.81924,16.5681,17.11002
2026-05-25 17:00:00,2.42719,9.76623,6.48017,7.50308,0.17828,7.4079,0.03293,8.56133,0.02759,0.02034,0.00045,0,5.53899,16.56658,17.12751
2026-05-25 18:00:00,2.42649,9.57431,6.51232,7.53779,0.1782,7.32341,0.03293,8.60536,0.02758,0.02033,0.00045,0,5.46964,16.56619,17.1432
2026-05-25 19:00:00,2.42771,9.94179,6.54455,7.57202,0.17812,7.33599,0.03292,8.64802,0.02758,0.02031,0.00045,0,5.602,16.56687,17.15742
2026-05-25 20:00:00,2.43042,10.893,6.57641,7.60524,0.17803,7.35909,0.03292,8.68745,0.02757,0.0203,0.00045,0,5.93534,16.56838,17.17035
2026-05-25 21:00:00,2.43116,11.69322,6.60816,7.63769,0.17795,7.39011,0.03291,8.72518,0.02756,0.02029,0.00045,0,6.20338,16.56879,17.18219
2026-05-25 22:00:00,2.43183,12.39324,6.63963,7.66924,0.17787,7.42494,0.03291,8.76197,0.02755,0.02028,0.00045,0,6.43434,16.56916,17.19296
2026-05-25 23:00:00,2.43211,12.67189,6.67092,7.69995,0.17778,7.46118,0.03291,8.7982,0.02754,0.02027,0.00045,0,6.52714,16.56932,17.20281
2026-05-26 00:00:00,2.43196,12.56185,6.70204,7.72986,0.17769,7.49779,0.0329,8.83412,0.02753,0.02026,0.00045,0,6.49058,16.56924,17.21178
2026-05-26 01:00:00,2.4315,12.20065,6.72788,7.75423,0.17761,7.53436,0.0329,8.86979,0.02752,0.02025,0.00045,0,6.36977,16.56898,17.22016
2026-05-26 02:00:00,2.43094,11.6617,6.75844,7.78255,0.17753,7.57073,0.03289,8.90521,0.02751,0.02024,0.00045,0,6.19296,16.56867,17.22845
2026-05-26 03:00:00,2.43037,11.11279,6.78867,7.81011,0.17745,7.60688,0.03289,8.94035,0.0275,0.02023,0.00045,0,6.00968,16.56835,17.23748
